"cycle","variable","in_current","in_mockdata_functions","explanation_category","explanation_detail"
"cycle3","lab_alt",TRUE,FALSE,"Wrong cycle","Variable only exists in: cycle1, cycle2, cycle4, cycle6"
"cycle3","lab_bpb",TRUE,FALSE,"Wrong cycle","Variable only exists in: cycle1, cycle2"
"cycle3","lfh_016",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle3","anymed2",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle3","diab_drug2",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle3","gen_15",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle3","gen_18",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle3","gen_20",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle3","lfh_16",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle4","gen_015",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle4","gen_018",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle4","gen_020",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle4","gfvd17dy",TRUE,FALSE,"Unknown","Needs investigation"
"cycle4","lab_bpb",TRUE,FALSE,"Wrong cycle","Variable only exists in: cycle1, cycle2"
"cycle4","lfh_016",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle4","anymed2",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle4","diab_drug2",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle4","gen_15",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle4","gen_18",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle4","gen_20",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle4","lfh_16",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle4_meds","CLINICID",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle4_meds","MEUCATC",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle4_meds","NPI_25B",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle4_meds","clinicid",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle4_meds","meucatc",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle4_meds","npi_25b",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle5","gfvd17dy",TRUE,FALSE,"Unknown","Needs investigation"
"cycle5","imm_03",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle5","lab_alt",TRUE,FALSE,"Wrong cycle","Variable only exists in: cycle1, cycle2, cycle4, cycle6"
"cycle5","lab_bpb",TRUE,FALSE,"Wrong cycle","Variable only exists in: cycle1, cycle2"
"cycle5","diab_drug2",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle5","img_03",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle5","lab_una",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle5","thifimp4",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","CLINICID",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","ALC_11",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","ALC_17",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","ALC_18",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","ALCDWKY",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","AMMDMVA1",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","AMMDMVA2",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","AMMDMVA3",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","AMMDMVA4",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","AMMDMVA5",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","AMMDMVA6",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","AMMDMVA7",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","BIR_14",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","BPMDPBPD",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","BPMDPBPS",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","CCC_32",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","CCC_51",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","CCC_59",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","CCC_61",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","CCC_63",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","CCC_81",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","CLC_AGE",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","CLC_SEX",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","DHH_MS",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","DHHDHSZ",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","EDUDR04",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","GEN_025",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","GEN_045",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","GEN_055",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","GENDHDI",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","GENDMHI",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","GFVD17AY",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","GFVD17BY",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","GFVD17CY",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","GFVD17DY",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","GFVD18Y",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","GFVD19Y",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","GFVD20Y",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","GFVD22Y",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","GFVD23Y",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","HWM_11CM",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","HWM_13KG",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","HWM_14CX",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","HWMDBMI",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","IMM_03",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","LAB_ALKP",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","LAB_ALT",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","LAB_BCRE",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","LAB_BPB",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","LAB_CA",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","LAB_CHOL",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","LAB_GGT",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","LAB_HBA1",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","LAB_HDL",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","LAB_VIDS",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","LAFCOC16",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","LAFDWSL",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","LMH_016",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","MDCD04Y",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","PAADTOT",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","PGDCGT",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","PRS_11",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","SMK_11",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","SMK_21",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","SMK_31",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","SMK_41",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","SMK_42",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","SMK_52",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","SMK_53",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","SMK_54",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","SMKDSTY",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","SPA_020",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","THI_01",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","THIFIMP4",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","WGT_FULL",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","WSDD34Y",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","WSDD35Y",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6","alc_11",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","alc_17",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","alcdwky",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","ammdmva1",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","ammdmva2",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","ammdmva3",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","ammdmva4",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","ammdmva5",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","ammdmva6",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","ammdmva7",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","anymed2",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","bir_14",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","bpmdpbpd",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","bpmdpbps",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","ccc_32",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","ccc_51",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","ccc_59",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","ccc_61",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","ccc_63",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","ccc_81",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","clc_age",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","clc_sex",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","clinicid",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","dhh_ms",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","dhhdhsz",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","diab_drug2",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","edudr04",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","gen_025",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","gen_045",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","gen_055",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","gendhdi",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","gendmhi",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","gfvd17ay",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","gfvd17by",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","gfvd17cy",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","gfvd18y",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","gfvd19y",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","gfvd20y",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","gfvd22y",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","gfvd23y",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","hwm_11cm",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","hwm_13kg",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","hwm_14cx",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","hwmdbmi",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","img_03",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","lab_alkp",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","lab_alt",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","lab_bcre",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","lab_ca",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","lab_chol",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","lab_ggt",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","lab_hba1",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","lab_hdl",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","lab_una",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","lab_vids",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","lafcoc16",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","lafdwsl",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","lmh_016",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","mdcd04y",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","paadtot",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","pgdcgt",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","prs_11",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","smk_11",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","smk_21",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","smk_31",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","smk_41",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","smk_42",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","smk_52",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","smk_53",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","smk_54",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","smkdsty",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","spa_020",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","thi_01",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","thifimp4",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","wgt_full",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","wsdd34y",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6","wsdd35y",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6_meds","CLINICID",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6_meds","MEUCATC",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6_meds","NPI_25B",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle6_meds","clinicid",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6_meds","meucatc",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle6_meds","npi_25b",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
